Date,League,Home_Team,Away_Team,Home_Goals,Away_Goals,Possession_Home,Possession_Away,Shots_Home,Shots_Away,ShotsOnTarget_Home,ShotsOnTarget_Away,Fouls_Home,Fouls_Away,Yellows_Home,Yellows_Away,Reds_Home,Reds_Away,Result
2021-01-01,Premier League,Arsenal,Newcastle,1,1,42.6997592349143,57.3002407650857,7,5,1,2,10,14,1,2,0,0,D
2021-01-02,Ligue 1,Lille,Rennes,2,1,51.88353642239297,48.11646357760703,8,6,2,2,8,3,2,0,0,0,H
2021-01-02,Serie A,Roma,Inter,0,2,53.10070557424834,46.89929442575166,10,5,2,2,12,15,2,2,0,0,A
2021-01-02,Serie A,Lazio,Atalanta,2,0,35.14817977725224,64.85182022274776,2,13,1,1,12,15,1,0,0,0,H
2021-01-04,Ligue 1,Rennes,Marseille,2,0,40.6502895482093,59.3497104517907,6,8,3,3,7,18,1,2,1,0,H
2021-01-06,Bundesliga,Freiburg,Leipzig,0,0,61.83336009813315,38.16663990186685,8,5,2,1,17,17,2,1,0,0,D
2021-01-06,Bundesliga,Freiburg,Leverkusen,4,2,49.460579415610255,50.539420584389745,13,2,5,1,14,14,1,1,0,0,H
2021-01-07,Bundesliga,Dortmund,Freiburg,1,1,45.690967095317006,54.309032904682994,8,8,5,2,8,12,3,0,0,0,D
2021-01-09,Bundesliga,Leverkusen,Wolfsburg,3,0,53.39693048491252,46.60306951508748,6,5,2,1,16,10,2,3,0,0,H
2021-01-11,Ligue 1,Nantes,Nice,0,0,39.095180464814234,60.904819535185766,5,12,1,10,12,9,1,2,1,0,D
2021-01-11,Premier League,Aston Villa,Spurs,2,1,44.29465770668784,55.70534229331216,7,10,5,3,14,13,1,2,0,0,H
2021-01-11,Bundesliga,Leipzig,Wolfsburg,1,0,43.54018138818481,56.45981861181519,6,7,1,1,11,5,1,2,0,0,H
2021-01-12,Ligue 1,Nice,Lyon,3,1,56.17843930993345,43.82156069006655,6,3,2,1,6,12,3,2,0,0,H
2021-01-15,Bundesliga,Wolfsburg,Leipzig,3,1,37.87235904440984,62.12764095559016,7,10,2,4,16,16,0,2,0,0,H
2021-01-15,Eredivisie,Ajax,PSV,1,2,36.13037140299354,63.86962859700646,2,10,1,4,3,7,1,1,0,0,A
2021-01-16,Eredivisie,Heerenveen,Utrecht,3,1,53.75058494964164,46.24941505035836,11,6,6,1,13,12,1,2,0,0,H
2021-01-17,Serie A,Lazio,Napoli,3,2,59.07877836246502,40.92122163753498,6,11,3,3,17,15,2,2,0,0,H
2021-01-17,Ligue 1,Marseille,Monaco,0,0,54.24643196692328,45.75356803307672,8,4,1,1,11,6,0,1,0,0,D
2021-01-19,Bundesliga,Dortmund,Wolfsburg,2,2,55.606126539831365,44.393873460168635,2,2,1,1,7,13,1,0,0,0,D
2021-01-20,Eredivisie,PSV,Vitesse,3,0,57.65323007358829,42.34676992641171,9,9,1,3,6,9,2,2,0,0,H
2021-01-22,La Liga,Real Madrid,Real Sociedad,2,0,51.52263985084517,48.47736014915483,8,5,1,3,14,10,3,2,0,0,H
2021-01-22,Ligue 1,Monaco,Rennes,0,1,52.92270723519387,47.07729276480613,8,5,4,1,11,10,0,0,0,0,A
2021-01-23,Serie A,Atalanta,Roma,0,1,57.04787737517132,42.95212262482868,7,14,1,2,12,13,2,1,0,0,A
2021-01-23,La Liga,Atletico,Barcelona,0,1,45.875292397593874,54.124707602406126,4,10,1,3,11,6,0,1,0,0,A
2021-01-23,Bundesliga,Freiburg,Bayern,1,3,63.863874013579135,36.136125986420865,9,2,1,1,7,5,1,2,0,0,A
